Language|##|QuestionCode|##|Category|##|WebTranslation|##|FullTranslation|##|Note
LT|##|MM173_3|##|DSS valdymas|##|Ar Jūsų įmonė naudojosi informacija apie sveikatą ir darbų saugą iš bet kurios iš šių organizacijų arba institucijų?: Įmonės sveikatos ir darbų saugos skyrius/ darbuotojai|##|Įmonės sveikatos ir darbų saugos skyrius/ darbuotojai|##|Ar Jūsų įmonė naudojosi informacija apie sveikatą ir darbų saugą iš bet kurios iš šių organizacijų arba institucijų?Įmonės sveikatos ir darbų saugos skyrius/ darbuotojai
LT|##|MM173_4|##|DSS valdymas|##|Ar Jūsų įmonė naudojosi informacija apie sveikatą ir darbų saugą iš bet kurios iš šių organizacijų arba institucijų?: Darbo inspekcija|##|Darbo inspekcija|##|Ar Jūsų įmonė naudojosi informacija apie sveikatą ir darbų saugą iš bet kurios iš šių organizacijų arba institucijų?Darbo inspekcija
LT|##|MM173_5|##|DSS valdymas|##|Ar Jūsų įmonė naudojosi informacija apie sveikatą ir darbų saugą iš bet kurios iš šių organizacijų arba institucijų?: Darbdavių organizacijos|##|Darbdavių organizacijos|##|Ar Jūsų įmonė naudojosi informacija apie sveikatą ir darbų saugą iš bet kurios iš šių organizacijų arba institucijų?Darbdavių organizacijos
LT|##|MM173_6|##|DSS valdymas|##|Ar Jūsų įmonė naudojosi informacija apie sveikatą ir darbų saugą iš bet kurios iš šių organizacijų arba institucijų?: Profesinės sąjungos|##|Profesinės sąjungos|##|Ar Jūsų įmonė naudojosi informacija apie sveikatą ir darbų saugą iš bet kurios iš šių organizacijų arba institucijų?Profesinės sąjungos
LT|##|MM173_7|##|DSS valdymas|##|Ar Jūsų įmonė naudojosi informacija apie sveikatą ir darbų saugą iš bet kurios iš šių organizacijų arba institucijų?: Samdomi sveikatos ir darbų saugos ekspertai|##|Samdomi sveikatos ir darbų saugos ekspertai|##|Ar Jūsų įmonė naudojosi informacija apie sveikatą ir darbų saugą iš bet kurios iš šių organizacijų arba institucijų?Samdomi sveikatos ir darbų saugos ekspertai
LT|##|MM173_8|##|DSS valdymas|##|Ar Jūsų įmonė naudojosi informacija apie sveikatą ir darbų saugą iš bet kurios iš šių organizacijų arba institucijų?: Draudimo paslaugų teikėjai|##|Draudimo paslaugų teikėjai|##|Ar Jūsų įmonė naudojosi informacija apie sveikatą ir darbų saugą iš bet kurios iš šių organizacijų arba institucijų?Draudimo paslaugų teikėjai
LT|##|MM175|##|DSS valdymas|##|Ar žinote apie Europos saugos ir sveikatos darbe savaitę?|##|Ar žinote apie Europos saugos ir sveikatos darbe savaitę?|##|Ar žinote apie Europos saugos ir sveikatos darbe savaitę?
LT|##|MM200_1|##|DSS valdymas|##|Prašome apie kiekvieną iš šių klausimų pasakyti, ar Jūsų įmonėje tai kelia didelį susirūpinimą, tam tikrą susirūpinimą, o gal nekelia jokio susirūpinimo?: Pavojingos medžiagos (pvz., dulkės, cheminės, biologinės arba radioaktyvios medžiagos)|##|Pavojingos medžiagos (pvz., dulkės, cheminės, biologinės arba radioaktyvios medžiagos)|##|Prašome apie kiekvieną iš šių klausimų pasakyti, ar Jūsų įmonėje tai kelia didelį susirūpinimą, tam tikrą susirūpinimą, o gal nekelia jokio susirūpinimo?Pavojingos medžiagos (int.: paaiškinkite, jei reikia: pvz., dulkės, cheminės, biologinės arba radioaktyvios medžiagos)
LT|##|MM200_2|##|DSS valdymas|##|Prašome apie kiekvieną iš šių klausimų pasakyti, ar Jūsų įmonėje tai kelia didelį susirūpinimą, tam tikrą susirūpinimą, o gal nekelia jokio susirūpinimo?: Nelaimingi atsitikimai|##|Nelaimingi atsitikimai|##|Prašome apie kiekvieną iš šių klausimų pasakyti, ar Jūsų įmonėje tai kelia didelį susirūpinimą, tam tikrą susirūpinimą, o gal nekelia jokio susirūpinimo?Nelaimingi atsitikimai
LT|##|MM200_3|##|DSS valdymas|##|Prašome apie kiekvieną iš šių klausimų pasakyti, ar Jūsų įmonėje tai kelia didelį susirūpinimą, tam tikrą susirūpinimą, o gal nekelia jokio susirūpinimo?: Triukšmas ir vibracija|##|Triukšmas ir vibracija|##|Prašome apie kiekvieną iš šių klausimų pasakyti, ar Jūsų įmonėje tai kelia didelį susirūpinimą, tam tikrą susirūpinimą, o gal nekelia jokio susirūpinimo?Triukšmas ir vibracija
LT|##|MM200_4|##|DSS valdymas|##|Prašome apie kiekvieną iš šių klausimų pasakyti, ar Jūsų įmonėje tai kelia didelį susirūpinimą, tam tikrą susirūpinimą, o gal nekelia jokio susirūpinimo?: Kaulų ir raumenų sistemos pažeidimai, pvz., nugaros, kaklo, rankų arba kojų skausmai|##|Kaulų ir raumenų sistemos pažeidimai, pvz., nugaros, kaklo, rankų arba kojų skausmai|##|Prašome apie kiekvieną iš šių klausimų pasakyti, ar Jūsų įmonėje tai kelia didelį susirūpinimą, tam tikrą susirūpinimą, o gal nekelia jokio susirūpinimo?Kaulų ir raumenų sistemos pažeidimai, pvz., nugaros, kaklo, rankų arba kojų skausmai
LT|##|MM200_5|##|DSS valdymas|##|Prašome apie kiekvieną iš šių klausimų pasakyti, ar Jūsų įmonėje tai kelia didelį susirūpinimą, tam tikrą susirūpinimą, o gal nekelia jokio susirūpinimo?: Su darbu susijęs stresas|##|Su darbu susijęs stresas|##|Prašome apie kiekvieną iš šių klausimų pasakyti, ar Jūsų įmonėje tai kelia didelį susirūpinimą, tam tikrą susirūpinimą, o gal nekelia jokio susirūpinimo?Su darbu susijęs stresas
LT|##|MM200_6|##|DSS valdymas|##|Prašome apie kiekvieną iš šių klausimų pasakyti, ar Jūsų įmonėje tai kelia didelį susirūpinimą, tam tikrą susirūpinimą, o gal nekelia jokio susirūpinimo?: Prievarta arba prievartos grėsmė|##|Prievarta arba prievartos grėsmė|##|Prašome apie kiekvieną iš šių klausimų pasakyti, ar Jūsų įmonėje tai kelia didelį susirūpinimą, tam tikrą susirūpinimą, o gal nekelia jokio susirūpinimo?Prievarta arba prievartos grėsmė
LT|##|MM200_7|##|DSS valdymas|##|Prašome apie kiekvieną iš šių klausimų pasakyti, ar Jūsų įmonėje tai kelia didelį susirūpinimą, tam tikrą susirūpinimą, o gal nekelia jokio susirūpinimo?: Persekiojimas arba priekabiavimas, t.y. bendradarbių arba viršininkų vykdomas smurtavimas, žeminimas arba užpuolimas|##|Persekiojimas arba priekabiavimas, t.y. bendradarbių arba viršininkų vykdomas smurtavimas, žeminimas arba užpuolimas|##|Prašome apie kiekvieną iš šių klausimų pasakyti, ar Jūsų įmonėje tai kelia didelį susirūpinimą, tam tikrą susirūpinimą, o gal nekelia jokio susirūpinimo?Persekiojimas arba priekabiavimas, t.y. bendradarbių arba viršininkų vykdomas smurtavimas, žeminimas arba užpuolimas
LT|##|MM202_1|##|Psichosocialinė rizika ir jos valdymas|##|Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.: Laiko trūkumo keliamas stresas|##|Laiko trūkumo keliamas stresas|##|"Prie streso, prievartos arba priekabiavimo darbe gali prisidėti keletas veiksnių; jie yra susiję su darbo organizavimo pobūdžiu ir dažnai vadinami „psichologiniais ir socialiniais rizikos veiksniais“. Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.Laiko trūkumo keliamas stresas"
LT|##|MM202_2|##|Psichosocialinė rizika ir jos valdymas|##|Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.: Nepakankama komunikacija tarp vadovybės ir darbuotojų|##|Nepakankama komunikacija tarp vadovybės ir darbuotojų|##|"Prie streso, prievartos arba priekabiavimo darbe gali prisidėti keletas veiksnių; jie yra susiję su darbo organizavimo pobūdžiu ir dažnai vadinami „psichologiniais ir socialiniais rizikos veiksniais“. Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.Nepakankama komunikacija tarp vadovybės ir darbuotojų"
LT|##|MM202_3|##|Psichosocialinė rizika ir jos valdymas|##|Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.: Nepakankamas bendradarbiavimas tarp bendradarbių|##|Nepakankamas bendradarbiavimas tarp bendradarbių|##|"Prie streso, prievartos arba priekabiavimo darbe gali prisidėti keletas veiksnių; jie yra susiję su darbo organizavimo pobūdžiu ir dažnai vadinami „psichologiniais ir socialiniais rizikos veiksniais“. Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.Nepakankamas bendradarbiavimas tarp bendradarbių"
LT|##|MM202_4|##|Psichosocialinė rizika ir jos valdymas|##|Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.: Nepakankama darbuotojų kontrolė organizuojant jų darbą|##|Nepakankama darbuotojų kontrolė organizuojant jų darbą|##|"Prie streso, prievartos arba priekabiavimo darbe gali prisidėti keletas veiksnių; jie yra susiję su darbo organizavimo pobūdžiu ir dažnai vadinami „psichologiniais ir socialiniais rizikos veiksniais“. Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.Nepakankama darbuotojų kontrolė organizuojant jų darbą"
LT|##|MM202_5|##|Psichosocialinė rizika ir jos valdymas|##|Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.: Darbo saugumas|##|Darbo saugumas|##|"Prie streso, prievartos arba priekabiavimo darbe gali prisidėti keletas veiksnių; jie yra susiję su darbo organizavimo pobūdžiu ir dažnai vadinami „psichologiniais ir socialiniais rizikos veiksniais“. Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.Darbo saugumas"
LT|##|MM202_6|##|Psichosocialinė rizika ir jos valdymas|##|Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.: Būtinybė turėti reikalų su problemiškais klientais, pacientais, mokiniais ir pan.|##|Būtinybė turėti reikalų su problemiškais klientais, pacientais, mokiniais ir pan.|##|"Prie streso, prievartos arba priekabiavimo darbe gali prisidėti keletas veiksnių; jie yra susiję su darbo organizavimo pobūdžiu ir dažnai vadinami „psichologiniais ir socialiniais rizikos veiksniais“. Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.Būtinybė turėti reikalų su problemiškais klientais, pacientais, mokiniais ir pan."
LT|##|MM202_7|##|Psichosocialinė rizika ir jos valdymas|##|Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.: Vadovybės ir darbuotojų santykių problemos|##|Vadovybės ir darbuotojų santykių problemos|##|"Prie streso, prievartos arba priekabiavimo darbe gali prisidėti keletas veiksnių; jie yra susiję su darbo organizavimo pobūdžiu ir dažnai vadinami „psichologiniais ir socialiniais rizikos veiksniais“. Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.Vadovybės ir darbuotojų santykių problemos"
LT|##|MM202_8|##|Psichosocialinė rizika ir jos valdymas|##|Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.: Ilgai trunkančios arba nereguliarios darbo valandos|##|Ilgai trunkančios arba nereguliarios darbo valandos|##|"Prie streso, prievartos arba priekabiavimo darbe gali prisidėti keletas veiksnių; jie yra susiję su darbo organizavimo pobūdžiu ir dažnai vadinami „psichologiniais ir socialiniais rizikos veiksniais“. Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.Ilgai trunkančios arba nereguliarios darbo valandos"
LT|##|MM202_9|##|Psichosocialinė rizika ir jos valdymas|##|Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.: Neaiški žmogiškųjų išteklių politika|##|Neaiški žmogiškųjų išteklių politika|##|"Prie streso, prievartos arba priekabiavimo darbe gali prisidėti keletas veiksnių; jie yra susiję su darbo organizavimo pobūdžiu ir dažnai vadinami „psichologiniais ir socialiniais rizikos veiksniais“. Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.Neaiški žmogiškųjų išteklių politika"
LT|##|MM202_10|##|Psichosocialinė rizika ir jos valdymas|##|Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.: Diskriminacija (pvz., dėl lyties, amžiaus arba tautinės kilmės)|##|Diskriminacija (pvz., dėl lyties, amžiaus arba tautinės kilmės)|##|"Prie streso, prievartos arba priekabiavimo darbe gali prisidėti keletas veiksnių; jie yra susiję su darbo organizavimo pobūdžiu ir dažnai vadinami „psichologiniais ir socialiniais rizikos veiksniais“. Prašome pasakyti, ar kurie nors iš šių psichosocialinių rizikos veiksnių kelia susirūpinimą Jūsų įmonėje.Diskriminacija (pvz., dėl lyties, amžiaus arba tautinės kilmės)"
LT|##|MM250|##|Psichosocialinė rizika ir jos valdymas|##|Ar Jūsų įmonė turi nustatytą tvarką, kaip spręsti su darbu susijusio streso klausimus?|##|Ar Jūsų įmonė turi nustatytą tvarką, kaip spręsti su darbu susijusio streso klausimus?|##|Ar Jūsų įmonė turi nustatytą tvarką, kaip spręsti su darbu susijusio streso klausimus?
LT|##|MM251|##|Psichosocialinė rizika ir jos valdymas|##|Ar yra nustatyta tvarka, kaip spręsti klausimus, susijusius su darbuotojų persekiojimu arba priekabiavimu?|##|Ar yra nustatyta tvarka, kaip spręsti klausimus, susijusius su darbuotojų persekiojimu arba priekabiavimu?|##|Ar yra nustatyta tvarka, kaip spręsti klausimus, susijusius su darbuotojų persekiojimu arba priekabiavimu?
LT|##|MM252|##|Psichosocialinė rizika ir jos valdymas|##|Ar Jūsų įmonė turi procedūras, nurodančias kaip spręsti su darbu susijusios prievartos klausimus?|##|Ar Jūsų įmonė turi procedūras, nurodančias kaip spręsti su darbu susijusios prievartos klausimus?|##|Ar Jūsų įmonė turi procedūras, nurodančias kaip spręsti su darbu susijusios prievartos klausimus?
LT|##|MM253_1|##|Psichosocialinė rizika ir jos valdymas|##|Ar per paskutinius 3 metus Jūsų įmonėje buvo imtasi kurių nors iš šių priemonių mažinant psichologinius ir socialinius rizikos veiksnius?: Darbo organizavimo būdo pokyčiai|##|Darbo organizavimo būdo pokyčiai|##|Ar per paskutinius 3 metus Jūsų įmonėje buvo imtasi kurių nors iš šių priemonių mažinant psichologinius ir socialinius rizikos veiksnius?Darbo organizavimo būdo pokyčiai
LT|##|MM253_2|##|Psichosocialinė rizika ir jos valdymas|##|Ar per paskutinius 3 metus Jūsų įmonėje buvo imtasi kurių nors iš šių priemonių mažinant psichologinius ir socialinius rizikos veiksnius?: Darbo vietos pertvarkymas|##|Darbo vietos pertvarkymas|##|Ar per paskutinius 3 metus Jūsų įmonėje buvo imtasi kurių nors iš šių priemonių mažinant psichologinius ir socialinius rizikos veiksnius?Darbo vietos pertvarkymas
LT|##|MM253_3|##|Psichosocialinė rizika ir jos valdymas|##|Ar per paskutinius 3 metus Jūsų įmonėje buvo imtasi kurių nors iš šių priemonių mažinant psichologinius ir socialinius rizikos veiksnius?: Konfidencialus darbuotojų konsultavimas|##|Konfidencialus darbuotojų konsultavimas|##|Ar per paskutinius 3 metus Jūsų įmonėje buvo imtasi kurių nors iš šių priemonių mažinant psichologinius ir socialinius rizikos veiksnius?Konfidencialus darbuotojų konsultavimas
LT|##|MM253_4|##|Psichosocialinė rizika ir jos valdymas|##|Ar per paskutinius 3 metus Jūsų įmonėje buvo imtasi kurių nors iš šių priemonių mažinant psichologinius ir socialinius rizikos veiksnius?: Konfliktų sprendimo tvarkos nustatymas|##|Konfliktų sprendimo tvarkos nustatymas|##|Ar per paskutinius 3 metus Jūsų įmonėje buvo imtasi kurių nors iš šių priemonių mažinant psichologinius ir socialinius rizikos veiksnius?Konfliktų sprendimo tvarkos nustatymas
LT|##|MM253_5|##|Psichosocialinė rizika ir jos valdymas|##|Ar per paskutinius 3 metus Jūsų įmonėje buvo imtasi kurių nors iš šių priemonių mažinant psichologinius ir socialinius rizikos veiksnius?: Darbo laiko tvarkos pokyčiai|##|Darbo laiko tvarkos pokyčiai|##|Ar per paskutinius 3 metus Jūsų įmonėje buvo imtasi kurių nors iš šių priemonių mažinant psichologinius ir socialinius rizikos veiksnius?Darbo laiko tvarkos pokyčiai
LT|##|MM253_6|##|Psichosocialinė rizika ir jos valdymas|##|Ar per paskutinius 3 metus Jūsų įmonėje buvo imtasi kurių nors iš šių priemonių mažinant psichologinius ir socialinius rizikos veiksnius?: Apmokymų užtikrinimas|##|Apmokymų užtikrinimas|##|Ar per paskutinius 3 metus Jūsų įmonėje buvo imtasi kurių nors iš šių priemonių mažinant psichologinius ir socialinius rizikos veiksnius?Apmokymų užtikrinimas
LT|##|MM256|##|Psichosocialinė rizika ir jos valdymas|##|Ar Jūsų įmonė imasi kokių nors veiksmų, jei pavieniai darbuotojai dirba pernelyg ilgai arba nereguliariai?|##|Ar Jūsų įmonė imasi kokių nors veiksmų, jei pavieniai darbuotojai dirba pernelyg ilgai arba nereguliariai?|##|Ar Jūsų įmonė imasi kokių nors veiksmų, jei pavieniai darbuotojai dirba pernelyg ilgai arba nereguliariai?
LT|##|MM259|##|Psichosocialinė rizika ir jos valdymas|##|Ar informuojate darbuotojus apie psichologinius ir socialinius rizikos veiksnius ir jų poveikį sveikatai ir darbų saugai?|##|Ar informuojate darbuotojus apie psichologinius ir socialinius rizikos veiksnius ir jų poveikį sveikatai ir darbų saugai?|##|Ar informuojate darbuotojus apie psichologinius ir socialinius rizikos veiksnius ir jų poveikį sveikatai ir darbų saugai?
LT|##|MM260|##|Psichosocialinė rizika ir jos valdymas|##|Ar jie yra informuoti, į ką turėtų kreiptis, jei iškiltų su darbu susijusios psichologinės ir socialinės problemos?|##|Ar jie yra informuoti, į ką turėtų kreiptis, jei iškiltų su darbu susijusios psichologinės ir socialinės problemos?|##|Ar jie yra informuoti, į ką turėtų kreiptis, jei iškiltų su darbu susijusios psichologinės ir socialinės problemos?
LT|##|MM171_1|##|Paskatos ir kliūtys|##|Darbuotojų saugos ir sveikatos klausimų sprendimo darbovietėje priežastys: Teisinių prievolių įvykdymas|##|Teisinių prievolių įvykdymas|##|Kiek Jūsų įmonėje sveikatos ir darbų saugos užtikrinimą įtakoja tokios priežastys? Apie kiekvieną iš jų pasakykite prašau, ar tai yra svarbi priežastis, nesvarbi priežastis, o gal tai iš viso nėra jokia priežastis?Teisinių prievolių įvykdymas
LT|##|MM171_2|##|Paskatos ir kliūtys|##|Darbuotojų saugos ir sveikatos klausimų sprendimo darbovietėje priežastys: Darbuotojų arba jų atstovų prašymai|##|Darbuotojų arba jų atstovų prašymai|##|Kiek Jūsų įmonėje sveikatos ir darbų saugos užtikrinimą įtakoja tokios priežastys? Apie kiekvieną iš jų pasakykite prašau, ar tai yra svarbi priežastis, nesvarbi priežastis, o gal tai iš viso nėra jokia priežastis?Darbuotojų arba jų atstovų prašymai
LT|##|MM171_3|##|Paskatos ir kliūtys|##|Darbuotojų saugos ir sveikatos klausimų sprendimo darbovietėje priežastys: Darbuotojų išlaikymas ir nebuvimo darbe valdymas|##|Darbuotojų išlaikymas ir nebuvimo darbe valdymas|##|Kiek Jūsų įmonėje sveikatos ir darbų saugos užtikrinimą įtakoja tokios priežastys? Apie kiekvieną iš jų pasakykite prašau, ar tai yra svarbi priežastis, nesvarbi priežastis, o gal tai iš viso nėra jokia priežastis?Darbuotojų išlaikymas ir nebuvimo darbe valdymas
LT|##|MM171_4|##|Paskatos ir kliūtys|##|Darbuotojų saugos ir sveikatos klausimų sprendimo darbovietėje priežastys: Ekonominės arba su darbo atlikimu susijusios priežastys|##|Ekonominės arba su darbo atlikimu susijusios priežastys|##|Kiek Jūsų įmonėje sveikatos ir darbų saugos užtikrinimą įtakoja tokios priežastys? Apie kiekvieną iš jų pasakykite prašau, ar tai yra svarbi priežastis, nesvarbi priežastis, o gal tai iš viso nėra jokia priežastis?Ekonominės arba su darbo atlikimu susijusios priežastys
LT|##|MM171_5|##|Paskatos ir kliūtys|##|Darbuotojų saugos ir sveikatos klausimų sprendimo darbovietėje priežastys: Klientų reikalavimai arba susirūpinimas organizacijos reputacija|##|Klientų reikalavimai arba susirūpinimas organizacijos reputacija|##|Kiek Jūsų įmonėje sveikatos ir darbų saugos užtikrinimą įtakoja tokios priežastys? Apie kiekvieną iš jų pasakykite prašau, ar tai yra svarbi priežastis, nesvarbi priežastis, o gal tai iš viso nėra jokia priežastis?Klientų reikalavimai arba susirūpinimas organizacijos reputacija
LT|##|MM171_6|##|Paskatos ir kliūtys|##|Darbuotojų saugos ir sveikatos klausimų sprendimo darbovietėje priežastys: Spaudimas iš Darbo inspekcijos|##|Spaudimas iš Darbo inspekcijos|##|Kiek Jūsų įmonėje sveikatos ir darbų saugos užtikrinimą įtakoja tokios priežastys? Apie kiekvieną iš jų pasakykite prašau, ar tai yra svarbi priežastis, nesvarbi priežastis, o gal tai iš viso nėra jokia priežastis?Spaudimas iš Darbo inspekcijos
LT|##|MM172_1|##|Paskatos ir kliūtys|##|Didžiausios problemos, kylančios sprendžiant darbuotojų saugos ir sveikatos klausimus: Trūksta išteklių - pvz., laiko, darbuotojų arba pinigų|##|Trūksta išteklių - pvz., laiko, darbuotojų arba pinigų|##|Su kokiomis problemomis susiduriate įmonėje, kai sprendžiate sveikatos ir darbų saugos klausimus? Apie kiekvieną iš jų pasakykite prašau, ar tai yra didelė problema, nedidelė problema, o gal tai iš viso nėra jokia problema?Trūksta išteklių - pvz., laiko, darbuotojų arba pinigų
LT|##|MM172_2|##|Paskatos ir kliūtys|##|Didžiausios problemos, kylančios sprendžiant darbuotojų saugos ir sveikatos klausimus: Trūksta supratingumo|##|Trūksta supratingumo|##|Su kokiomis problemomis susiduriate įmonėje, kai sprendžiate sveikatos ir darbų saugos klausimus? Apie kiekvieną iš jų pasakykite prašau, ar tai yra didelė problema, nedidelė problema, o gal tai iš viso nėra jokia problema?Trūksta supratingumo
LT|##|MM172_3|##|Paskatos ir kliūtys|##|Didžiausios problemos, kylančios sprendžiant darbuotojų saugos ir sveikatos klausimus: Trūksta patirties ir žinių|##|Trūksta patirties ir žinių|##|Su kokiomis problemomis susiduriate įmonėje, kai sprendžiate sveikatos ir darbų saugos klausimus? Apie kiekvieną iš jų pasakykite prašau, ar tai yra didelė problema, nedidelė problema, o gal tai iš viso nėra jokia problema?Trūksta patirties ir žinių
LT|##|MM172_4|##|Paskatos ir kliūtys|##|Didžiausios problemos, kylančios sprendžiant darbuotojų saugos ir sveikatos klausimus: Trūksta techninės paramos arba konsultacijų|##|Trūksta techninės paramos arba konsultacijų|##|Su kokiomis problemomis susiduriate įmonėje, kai sprendžiate sveikatos ir darbų saugos klausimus? Apie kiekvieną iš jų pasakykite prašau, ar tai yra didelė problema, nedidelė problema, o gal tai iš viso nėra jokia problema?Trūksta techninės paramos arba konsultacijų
LT|##|MM172_5|##|Paskatos ir kliūtys|##|Didžiausios problemos, kylančios sprendžiant darbuotojų saugos ir sveikatos klausimus: Nepalanki įmonės vidaus kultūra|##|Nepalanki įmonės vidaus kultūra|##|Su kokiomis problemomis susiduriate įmonėje, kai sprendžiate sveikatos ir darbų saugos klausimus? Apie kiekvieną iš jų pasakykite prašau, ar tai yra didelė problema, nedidelė problema, o gal tai iš viso nėra jokia problema?Nepalanki įmonės vidaus kultūra
LT|##|MM172_6|##|Paskatos ir kliūtys|##|Didžiausios problemos, kylančios sprendžiant darbuotojų saugos ir sveikatos klausimus: Pats klausimo jautrumas|##|Pats klausimo jautrumas|##|Su kokiomis problemomis susiduriate įmonėje, kai sprendžiate sveikatos ir darbų saugos klausimus? Apie kiekvieną iš jų pasakykite prašau, ar tai yra didelė problema, nedidelė problema, o gal tai iš viso nėra jokia problema?Pats klausimo jautrumas
LT|##|MM300|##|Paskatos ir kliūtys|##|Palyginus su kitais darbų saugos ir sveikatos klausimais, ar psichologinius ir socialinius rizikos veiksnius suvaldyti yra sunkiau, lengviau, o gal nėra jokio skirtumo?|##|Palyginus su kitais darbų saugos ir sveikatos klausimais, ar psichologinius ir socialinius rizikos veiksnius suvaldyti yra sunkiau, lengviau, o gal nėra jokio skirtumo?|##|Palyginus su kitais darbų saugos ir sveikatos klausimais, ar psichologinius ir socialinius rizikos veiksnius suvaldyti yra sunkiau, lengviau, o gal nėra jokio skirtumo?
LT|##|MM302|##|Paskatos ir kliūtys|##|Ar naudojotės informacija arba parama iš išorės šaltinių, apie tai kaip spręsti klausimus, susijusius su psichologiniais ir socialiniais rizikos veiksniais darbe?|##|Ar naudojotės informacija arba parama iš išorės šaltinių, apie tai kaip spręsti klausimus, susijusius su psichologiniais ir socialiniais rizikos veiksniais darbe?|##|Ar naudojotės informacija arba parama iš išorės šaltinių, apie tai kaip spręsti klausimus, susijusius su psichologiniais ir socialiniais rizikos veiksniais darbe?
LT|##|MM303a|##|Paskatos ir kliūtys|##|Ar Jums norėtumėte papildomos informacijos arba paramos šiais klausimais?|##|Ar Jums norėtumėte papildomos informacijos arba paramos šiais klausimais?|##|Ar Jums norėtumėte papildomos informacijos arba paramos šiais klausimais?<br><br>Siekiant išsiaiškinti, kaip sprendžiamos su psichosocialine rizika darbe susijusios problemos, buvo apklaustos įmonės, kurios pranešė pasitelkiančios išorės šaltinių teikiamą informaciją arba pagalbą.
LT|##|MM350|##|Darbuotojų dalyvavimas|##|Ar įmonėje turite Darbo tarybą?|##|Ar įmonėje turite Darbo tarybą?|##|Ar įmonėje turite Darbo tarybą?
LT|##|MM351|##|Darbuotojų dalyvavimas|##|Ar Jūsų įmonėje yra darbuotojų profesinės sąjungos atstovas?|##|Ar Jūsų įmonėje yra darbuotojų profesinės sąjungos atstovas?|##|Ar Jūsų įmonėje yra darbuotojų profesinės sąjungos atstovas?
LT|##|MM355all|##|Darbuotojų dalyvavimas|##|Ar Jūsų įmonė turi darbuotojų atstovą darbų saugos ir sveikatos klausimams?|##|Ar Jūsų įmonė turi darbuotojų atstovą darbų saugos ir sveikatos klausimams?|##|Ar Jūsų įmonė turi darbuotojų atstovą darbų saugos ir sveikatos klausimams?<br><br>NL: Ar šioje įmonėje yra atstovas, atsakingas už darbuotojų saugą ir sveikatą?
LT|##|MM358|##|Darbuotojų dalyvavimas|##|Ar Jūsų įmonėje yra Darbuotojų saugos ir sveikatos komitetas?|##|Ar Jūsų įmonėje yra Darbuotojų saugos ir sveikatos komitetas?|##|Ar Jūsų įmonėje yra Darbuotojų saugos ir sveikatos komitetas?
LV|##|MM150_1|##|DDVA pārvaldība|##|Vai tiek izmantoti veselības un darba drošības nodrošināšanas pakalpojumi?: Ārsts, kas ir specializējies arodveselības jomā (arodārsts)|##|Ārsts, kas ir specializējies arodveselības jomā (arodārsts)|##|Kādus darba drošības un veselības aizsardzības pakalpojumus jūs izmantojat: vienalga vai iekšējos vai uz līguma pamata no ārpuses?Ārsts, kas ir specializējies arodveselības jomā (arodārsts)
LV|##|MM150_2|##|DDVA pārvaldība|##|Vai tiek izmantoti veselības un darba drošības nodrošināšanas pakalpojumi?: Darba drošības speciālists|##|Darba drošības speciālists|##|Kādus darba drošības un veselības aizsardzības pakalpojumus jūs izmantojat: vienalga vai iekšējos vai uz līguma pamata no ārpuses?Darba drošības speciālists
